Gene	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1332201	GSM1332202	GSM1332203	GSM1332204	GSM1332205	GSM1332206	GSM1332207	GSM1332208	GSM1332209	GSM1332210	GSM1332211	GSM1332212	GSM1332213	GSM1332214	GSM1332215	GSM1332216	GSM1332217	GSM1332218	GSM1332219	GSM1332220	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633	GSM1337327	GSM1337328	GSM1337329	GSM1337330	GSM1337331	GSM1337332	GSM1337333	GSM1337334	GSM1337335	GSM1337336
P4HTM	531.63	698.33	631.83	396.03	547.13	742.73	801.93	948.03	1162.43	799.33	744.83	852.13	785.23	778.43	775.33	692.43	717.83	830.63	842.63	791.13	910.23	782.43	856.43	863.33	834.73	849.63	907.53	824.03	1015.33	926.53	975.84	1026.84	1055.24	542.94	915.04	458.34	1250.33	1157.23	758.03	844.33	913.63	1019.23	761.63	1047.13	774.63	795.23
PUF60	802.4527778	955.9527778	651.8527778	1481.952778	1051.952778	1396.652778	992.4527778	841.1527778	793.5527778	775.8527778	1023.627778	1208.527778	1034.527778	1301.627778	973.2277778	885.6277778	1050.627778	1108.127778	1013.527778	998.3277778	1037.327778	976.2277778	1087.527778	1194.727778	1052.827778	1012.827778	1044.927778	1025.827778	887.6277778	1062.427778	927.6194444	925.7194444	938.6194444	1185.519444	1137.219444	1179.319444	994.8527778	1158.752778	1060.052778	1342.352778	1327.852778	1399.952778	1174.752778	858.5527778	1056.152778	862.9527778
ANG	54.80333333	235.0033333	806.1033333	21.80333333	171.5033333	636.6033333	249.0033333	292.6033333	245.9033333	273.8033333	434.7983333	666.0983333	709.9983333	332.8983333	317.4983333	327.6983333	326.6983333	367.2983333	422.6983333	350.3983333	237.2983333	316.8983333	286.0983333	313.1983333	314.2983333	384.5983333	284.0983333	261.5983333	331.8983333	334.8983333	215.8983333	488.7983333	358.9983333	459.5983333	418.8983333	254.0983333	334.6033333	343.2033333	435.1033333	351.8033333	991.5033333	397.5033333	590.4033333	330.6033333	289.3033333	269.8033333
CBX6	683.405	787.205	716.105	586.005	863.705	386.305	888.405	1085.405	1107.305	860.105	618.55	704.75	751.75	827.95	881.95	687.65	696.75	788.75	787.55	737.95	920.35	1145.45	846.15	873.05	842.05	840.15	822.65	906.65	1043.35	1048.45	684.745	916.745	945.745	754.145	973.545	756.645	910.905	1126.305	1114.305	527.205	715.605	1184.905	533.505	826.505	1045.605	823.105
CERS6	417.1338889	341.5338889	769.9338889	188.4338889	382.3338889	710.8338889	773.8338889	527.8338889	556.3338889	535.7338889	584.4488889	655.9488889	688.9488889	571.9488889	508.1488889	503.2488889	515.2488889	570.0488889	502.7488889	573.4488889	709.9488889	561.4488889	465.6488889	538.7488889	513.1488889	502.9488889	503.6488889	510.8488889	558.7488889	491.3488889	513.7172222	452.1172222	557.3172222	771.9172222	541.7172222	472.4172222	650.9338889	798.1338889	585.9338889	215.8338889	543.0338889	624.9338889	70.93388889	511.3338889	1227.433889	598.2338889
ENTPD4	932.0211111	453.4211111	537.1211111	818.1211111	671.4211111	523.2211111	395.2211111	535.2211111	591.6211111	524.7211111	455.0311111	388.1311111	431.3311111	651.8311111	865.1311111	725.7311111	385.8311111	529.0311111	520.3311111	331.4311111	390.0311111	329.8311111	536.8311111	358.0311111	336.1311111	371.7311111	360.4311111	326.1311111	339.2311111	320.4311111	621.0477778	323.0477778	324.8477778	436.6477778	587.8477778	392.3477778	382.8211111	389.6211111	220.5211111	179.0211111	116.8211111	362.7211111	86.52111111	332.0211111	423.8211111	476.6211111
SIL1	51.08944444	316.7894444	139.0894444	-145.0105556	-99.11055556	112.7894444	450.9894444	171.1894444	299.3894444	118.6894444	331.0494444	292.1494444	306.2494444	300.2494444	213.9494444	218.3494444	215.9494444	285.9494444	278.9494444	215.8494444	434.6494444	364.0494444	470.6494444	418.3494444	437.6494444	313.5494444	296.9494444	335.0494444	289.1494444	237.1494444	404.6611111	326.4611111	348.0611111	304.5611111	299.7611111	193.2611111	616.6894444	880.0894444	371.2894444	499.7894444	156.0894444	612.9894444	399.0894444	325.6894444	472.5894444	505.6894444
RBL2	687.6783333	498.0783333	1267.278333	427.6783333	784.2783333	339.7783333	374.5783333	347.5783333	361.8783333	340.0783333	507.1633333	688.8633333	595.1633333	530.4633333	567.3633333	838.6633333	470.4633333	321.2633333	731.3633333	465.8633333	418.2633333	505.2633333	630.9633333	392.3633333	523.2633333	483.3633333	496.7633333	581.9633333	443.7633333	401.5633333	402.8583333	510.9583333	716.3583333	434.8583333	407.3583333	705.8583333	525.7783333	400.5783333	393.7783333	391.3783333	735.3783333	493.9783333	748.6783333	566.8783333	539.9783333	368.8783333
SPG20	759.0111111	424.3111111	813.4111111	727.2111111	1011.611111	611.5111111	121.6111111	157.9111111	169.2111111	213.9111111	517.7861111	575.5861111	386.2861111	427.0861111	497.8861111	627.3861111	411.6861111	321.1861111	475.4861111	404.3861111	364.5861111	349.7861111	454.6861111	417.6861111	408.1861111	388.3861111	287.2861111	354.2861111	330.8861111	280.1861111	298.8027778	413.0027778	349.4027778	374.8027778	424.9027778	623.3027778	359.5111111	324.8111111	228.3111111	370.6111111	332.6111111	251.3111111	374.2111111	360.6111111	460.0111111	209.0111111
INF2	331.4388889	623.0388889	352.9388889	404.9388889	346.8388889	608.2388889	830.2388889	1192.938889	1088.038889	782.4388889	446.4838889	529.8838889	620.6838889	581.0838889	577.8838889	543.3838889	551.6838889	679.7838889	648.2838889	593.0838889	549.5838889	553.2838889	554.6838889	570.4838889	507.5838889	508.5838889	665.3838889	632.9838889	625.3838889	625.6838889	626.8772222	580.5772222	762.3772222	563.5772222	455.4772222	480.8772222	617.0388889	491.3388889	627.8388889	396.6388889	374.5388889	497.3388889	232.1388889	515.6388889	422.8388889	829.4388889
BAG1	400.3955556	736.5955556	580.0955556	1200.295556	956.0955556	1159.495556	562.4955556	609.1955556	462.0955556	406.9955556	757.8555556	754.9555556	732.2555556	736.5555556	716.0555556	645.3555556	790.3555556	642.9555556	753.8555556	730.7555556	620.9555556	628.3555556	662.2555556	680.4555556	591.9555556	672.5555556	654.3555556	650.8555556	650.5555556	668.0555556	541.5488889	742.3488889	679.7488889	674.2488889	617.9488889	866.5488889	443.1955556	525.7955556	546.1955556	664.0955556	1002.395556	792.9955556	1069.495556	573.1955556	429.5955556	620.5955556
CUX1	331.4866667	444.0866667	316.9866667	565.1866667	386.7866667	507.1866667	500.2866667	497.7866667	394.2866667	523.7866667	474.8516667	665.5516667	550.5516667	494.2516667	465.5516667	446.9516667	542.1516667	525.8516667	484.1516667	446.9516667	511.2516667	656.3516667	574.3516667	514.4516667	603.2516667	591.8516667	740.5516667	664.1516667	575.5516667	596.6516667	432.3616667	404.4616667	618.2616667	449.7616667	552.1616667	880.5616667	825.1866667	669.7866667	981.4866667	338.8866667	241.4866667	1151.986667	362.4866667	810.8866667	545.6866667	729.4866667
VWA1	275.2777778	124.0777778	-78.42222222	186.7777778	114.1777778	174.3777778	786.7777778	626.3777778	638.9777778	804.3777778	274.1827778	271.8827778	297.6827778	335.9827778	438.5827778	280.4827778	460.9827778	445.8827778	359.5827778	387.9827778	324.8827778	326.3827778	311.9827778	368.4827778	358.4827778	274.2827778	478.1827778	376.9827778	406.9827778	431.5827778	534.7394444	414.4394444	400.2394444	401.2394444	190.2394444	222.5394444	462.0777778	623.9777778	482.5777778	388.0777778	103.5777778	352.7777778	43.47777778	414.5777778	226.2777778	461.2777778
PNPLA2	128.9788889	76.47888889	980.9788889	219.2788889	608.0788889	740.3788889	110.6788889	320.5788889	288.8788889	427.0788889	179.0538889	402.7538889	300.7538889	324.0538889	365.9538889	283.2538889	272.4538889	331.5538889	389.0538889	387.5538889	195.2538889	218.2538889	231.1538889	190.6538889	221.0538889	225.7538889	321.6538889	232.4538889	222.4538889	226.5538889	156.7672222	449.3672222	355.3672222	460.6672222	36.66722222	197.6672222	142.1788889	110.4788889	222.1788889	112.1788889	324.5788889	158.2788889	114.6788889	195.9788889	54.77888889	184.9788889
